Algoritmo,Movimentos_Iniciais,Solucoes_Encontradas,Media_Movimentos,Media_Nos_Expandidos,Media_Tempo_Segundos
BFS,1,3,1.0,3.3333333333333335,0.016169309616088867
BFS,2,3,2.0,10.0,0.0011929670969645183
BFS,3,3,3.0,28.0,0.0013755162556966145
BFS,4,3,4.0,52.666666666666664,0.0018344720204671223
BFS,5,3,5.0,68.0,0.0019692579905192056
BFS,6,3,6.0,217.33333333333334,0.0036156177520751953
BFS,7,3,7.0,445.6666666666667,0.00736848513285319
BFS,8,3,8.0,957.6666666666666,0.014149109522501627
BFS,9,3,9.0,1612.3333333333333,0.022895971934000652
BFS,10,3,10.0,3646.0,0.0510406494140625
BFS,11,3,10.333333333333334,5055.0,0.07119512557983398
BFS,12,3,12.0,13266.0,0.18237670262654623
BFS,13,3,13.0,41121.333333333336,0.5844946702321371
BFS,14,3,14.0,76253.33333333333,1.1315741539001465
BFS,15,3,14.333333333333334,76110.0,1.093651533126831
BFS,16,3,14.0,111602.66666666667,1.7342223326365154
BFS,17,3,14.333333333333334,348043.3333333333,6.000203529993693
BFS,18,3,17.333333333333332,695677.0,11.112640857696533
BFS,19,3,17.0,899554.6666666666,13.481147289276123
BFS,20,1,6.0,1333416.3333333333,16.037031332651775
BFS,21,1,17.0,1421719.3333333333,17.0926411151886
BFS,22,0,0,2000000.0,23.58857297897339
BFS,23,2,19.0,1580672.6666666667,20.94295398394267
BFS,24,1,18.0,1614454.0,20.76875138282776
BFS,25,0,0,2000000.0,23.49150888125102
BFS,26,0,0,2000000.0,23.40947453180949
BFS,27,0,0,2000000.0,23.524160703023274
BFS,28,0,0,2000000.0,23.467403411865234
BFS,29,2,18.0,1227708.3333333333,16.79699166615804
BFS,30,0,0,2000000.0,25.52995491027832
BFS,31,1,13.0,1340981.3333333333,17.24696095784505
BFS,32,0,0,2000000.0,23.602829138437908
BFS,33,0,0,2000000.0,23.6204088528951
BFS,34,0,0,2000000.0,23.477456013361614
BFS,35,1,19.0,1824061.6666666667,22.426817178726196
BFS,36,0,0,2000000.0,23.41844956080119
BFS,37,0,0,2000000.0,23.471877574920654
BFS,38,0,0,2000000.0,23.582749843597412
BFS,39,0,0,2000000.0,23.445643663406372
BFS,40,0,0,2000000.0,23.851972977320354
BFS,41,0,0,2000000.0,23.37576651573181
BFS,42,0,0,2000000.0,23.4586656888326
BFS,43,0,0,1333333.3333333333,17.135812918345135
BFS,44,0,0,2000000.0,23.278174877166748
BFS,45,0,0,2000000.0,23.34539047876994
BFS,46,0,0,2000000.0,23.11629867553711
BFS,47,0,0,2000000.0,23.19592610994975
BFS,48,0,0,2000000.0,23.179820378621418
BFS,49,0,0,2000000.0,23.30705499649048
BFS,50,0,0,2000000.0,23.065535465876263
